	#	#	#	#	https://www.millesima.fr/	
toscane	Toscane	316	#	||accueil|||italie|||région|	https://www.millesima.fr/toscane.html	
piemont	Piémont	267	#	||accueil|||italie|||région|	https://www.millesima.fr/piemont.html	
ombrie	Ombrie	2	#	||accueil|||italie|||région|	https://www.millesima.fr/ombrie.html	
lombardie	Lombardie	14	 La Lombardie est le coeur de la production des célèbres Franciacorta , ces "champagnes italiens" rivalisant de singularité et d'inventivité. La région se situe au nord de l'Italie, à quelques centaines de kilomètres de la ville de Milan. La vigne depuis l'antiquité y est implantée sur les collines au sud du Lac d'Iseo et la zone de production s'étend sur 1600 hectares (sur 19 communes entre la ville de Bergame et de Brescia). La production annuelle est d'environ 3.800.000 bouteilles de Franciacorta DOCG .	||accueil|||italie|||région|	https://www.millesima.fr/lombardie.html	
AjaxOrderItemDisplayView?catalogId=10554&storeId=11652&krypto=0AVhAZb%2Fdg9Dd0S3T8cqInNj2FnFhSI7brmfwIUwrs3xBhTpQ8NS4xeAN2wpFOXv%2Fyc1HazK4CykYvwsYRgypZSSrowfUsKSzbEM%2FC84eVkYU625Y5H1SJLEnkZ%2F1FHnoGvPu%2BHvO72VI2uvjTgkydRXhwkq5JYSR32tInaaLmj5RXvO2nTWun%2FWySbZkbS0HlT3ftyN175%2F6oRO2SIcNQ%3D%3D&ddkey=https%3AOrderItemAdd	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&storeId=11652&krypto=0AVhAZb%2Fdg9Dd0S3T8cqInNj2FnFhSI7brmfwIUwrs3xBhTpQ8NS4xeAN2wpFOXv%2Fyc1HazK4CykYvwsYRgypZSSrowfUsKSzbEM%2FC84eVkYU625Y5H1SJLEnkZ%2F1FHnoGvPu%2BHvO72VI2uvjTgkydRXhwkq5JYSR32tInaaLmj5RXvO2nTWun%2FWySbZkbS0HlT3ftyN175%2F6oRO2SIcNQ%3D%3D&ddkey=https%3AOrderItemAdd	
producteur-antinori---castello-della-sala	Antinori - Castello della Sala	2	#	||accueil|||italie|||région|||ombrie|||producteur|	https://www.millesima.fr/producteur-antinori---castello-della-sala.html	
umbria	Umbria	2	#	||accueil|||italie|||région|||ombrie|||appellation|	https://www.millesima.fr/umbria.html	
AdvancedSearchDisplay?catalogId=10554&langId=&storeId=11652	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AdvancedSearchDisplay?catalogId=10554&langId=&storeId=11652	
producteur-montenisa	Montenisa	1	#	||accueil|||italie|||région|||lombardie|||producteur|	https://www.millesima.fr/producteur-montenisa.html	
producteur-ricci-curbastro	Ricci Curbastro	6	 La famille Ricci Curbastro a une longue tradition agricole qui remonte au 8ème siècle dans l'azienda agricola du même nom à Capriolo en Franciacorta , (Lombardie). Ricci Curbastro était l'une des 11 entreprises qui a donné naissance à la DOC Franciacorta, qui désormais est développée en DOCG. Le propriétaire Riccardo Ricci Curbastro est un grand partisan de l'agriculture proche de l'environnement précisant que : ½ le patrimoine extraordinaire qui nous est offert doit être préservé et maintenu pour les générations futures. »	||accueil|||italie|||région|||lombardie|||producteur|	https://www.millesima.fr/producteur-ricci-curbastro.html	
producteur-ca-del-bosco	Ca' del Bosco	7	#	||accueil|||italie|||région|||lombardie|||producteur|	https://www.millesima.fr/producteur-ca-del-bosco.html	
franciacorta	Franciacorta	14	 L'appellation Franciacorta se situe en Lombardie , au nord de l'Italie, à quelques centaines de kilomètres de Milan. L'origine du Franciacorta effervescent remonte en 1570 attestée par un texte - signé par le médecin de Brescia, Girolamo Conforti - témoignant de la production d'un vin "à bulles" en Franciacorta : un vin défini comme un "très bon" et "mordant", c'est-à-dire pétillant. Aujourd'hui, 100 producteurs y produisent le Franciacorta. En 1995, le Franciacorta obtient la DOCG - Denominazione d'Origine Controllata Garantita - et devient alors le premier brut sec italien à recevoir cette appellation. Le Franciacorta est élaboré à partir de différents cépages, seuls ou assemblés : Chardonnay , Pinot noir et Pinot blanc . On l'obtient par le mûrissement et la vinification pendant au moins 25 mois après la vendange, dont au moins 18 mois de refermentation lente en bouteille au contact avec les levures.	||accueil|||italie|||région|||lombardie|||appellation|	https://www.millesima.fr/franciacorta.html	
ombrie-producteurs	Producteur	2	#	||accueil|||italie|||région|||ombrie|	https://www.millesima.fr/italie/italie-regions/ombrie/ombrie-producteurs.html	
ombrie-appellations	Appellation	2	#	||accueil|||italie|||région|||ombrie|	https://www.millesima.fr/italie/italie-regions/ombrie/ombrie-appellations.html	
ombrie	Ombrie	2	#	||accueil|||italie|||région|	https://www.millesima.fr/italie/italie-regions/ombrie.html	
lombardie-producteurs	Producteur	14	#	||accueil|||italie|||région|||lombardie|	https://www.millesima.fr/italie/italie-regions/lombardie/lombardie-producteurs.html	
lombardie	Lombardie	14	 La Lombardie est le coeur de la production des célèbres Franciacorta , ces "champagnes italiens" rivalisant de singularité et d'inventivité. La région se situe au nord de l'Italie, à quelques centaines de kilomètres de la ville de Milan. La vigne depuis l'antiquité y est implantée sur les collines au sud du Lac d'Iseo et la zone de production s'étend sur 1600 hectares (sur 19 communes entre la ville de Bergame et de Brescia). La production annuelle est d'environ 3.800.000 bouteilles de Franciacorta DOCG .	||accueil|||italie|||région|	https://www.millesima.fr/italie/italie-regions/lombardie.html	
lombardie	Lombardie	14	 La Lombardie est le coeur de la production des célèbres Franciacorta , ces "champagnes italiens" rivalisant de singularité et d'inventivité. La région se situe au nord de l'Italie, à quelques centaines de kilomètres de la ville de Milan. La vigne depuis l'antiquité y est implantée sur les collines au sud du Lac d'Iseo et la zone de production s'étend sur 1600 hectares (sur 19 communes entre la ville de Bergame et de Brescia). La production annuelle est d'environ 3.800.000 bouteilles de Franciacorta DOCG .	||accueil|||italie|||région|	https://www.millesima.fr/tous-nos-vins/italie/lombardie.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/ombrie/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
lombardie-appellations	Appellation	14	#	||accueil|||italie|||région|||lombardie|	https://www.millesima.fr/italie/italie-regions/lombardie/lombardie-appellations.html	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/ombrie/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267705&pageView=&langId=-2&catalogId=10554	Chardonnay	18	#	#	https://www.millesima.fr/CategoryDisplay?storeId=11652&urlLangId=-2&beginIndex=0&urlRequestType=Base&categoryId=267705&pageView=&langId=-2&catalogId=10554	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/lombardie/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/lombardie/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
pinot-blanc-pinot-bianco	Pinot Blanc (Pinot Bianco)	7	#	#	https://www.millesima.fr/pinot-blanc-pinot-bianco.html	
producteur-chateau-haut-bailly	Château Haut-Bailly	8	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-haut-bailly.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/italie/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
producteur-chateau-smith-haut-lafitte	Château Smith Haut Lafitte	5	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-smith-haut-lafitte.html	
producteur-clos-l-eglise	Clos l'Eglise	7	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-clos-l-eglise.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=DFDUEBFZJTAs%2F3bnr8CDlobs4KFm94F%2FAX6Wf7peJ1D4jDvTQyGIyeoWQLMjjvVaQzfU30lOXvMr3PnnUtDtSnuOFooWLOcKRheV%2Ff2IhFbbDCTYooel4T6NqyajvBBLbXktIrA0G7RqRHt038cM4i2BHvY6%2F94wZH5WRy8VOvmCFQ6wwRkuIVPW%2BYJq7TgkTHEAlFhbd2f98pSG1VwBIFEwAYg6mCNOgxEpTokbFjA%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=DFDUEBFZJTAs%2F3bnr8CDlobs4KFm94F%2FAX6Wf7peJ1D4jDvTQyGIyeoWQLMjjvVaQzfU30lOXvMr3PnnUtDtSnuOFooWLOcKRheV%2Ff2IhFbbDCTYooel4T6NqyajvBBLbXktIrA0G7RqRHt038cM4i2BHvY6%2F94wZH5WRy8VOvmCFQ6wwRkuIVPW%2BYJq7TgkTHEAlFhbd2f98pSG1VwBIFEwAYg6mCNOgxEpTokbFjA%3D&ddkey=https%3ARESTOrderCalculate	
RESTOrderCalculate?updatePrices=1&doConfigurationValidation=Y&calculationUsageId=-1&errorViewName=AjaxOrderItemDisplayView&catalogId=10554&langId=-2&URL=AjaxOrderItemDisplayView&storeId=11652&orderId=.	#	#	#	#	https://www.millesima.fr/tous-nos-vins/italie/RESTOrderCalculate?updatePrices=1&doConfigurationValidation=Y&calculationUsageId=-1&errorViewName=AjaxOrderItemDisplayView&catalogId=10554&langId=-2&URL=AjaxOrderItemDisplayView&storeId=11652&orderId=.	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-vins/italie/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
producteur-chateau-l-eglise-clinet	Château L'Eglise Clinet	6	#	||accueil|||bordeaux|||producteur|	https://www.millesima.fr/producteur-chateau-l-eglise-clinet.html	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=3WynoKCXUbE0ApbeFIPRj9d9ckcS1Q0qDd3ZfFxgdCzYUP%2Ffv5hoMjYeVWZ2MuSAogci%2B70EPJgNLReevQyWIiF5hpfepsp%2BwOn9A3PJTDdAaDDPOQyGPfIxtvIT69rW8wHL1eh%2FdV1oX1jT07wWEix%2FpLkCpZd1vOB9Kt1wF2N552M%2BVQy4e6CReeCd%2FT4GKC4Fvwakh6od6NljlMflNAqzMFSLVT2pbdfBdcDCmPo%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=3WynoKCXUbE0ApbeFIPRj9d9ckcS1Q0qDd3ZfFxgdCzYUP%2Ffv5hoMjYeVWZ2MuSAogci%2B70EPJgNLReevQyWIiF5hpfepsp%2BwOn9A3PJTDdAaDDPOQyGPfIxtvIT69rW8wHL1eh%2FdV1oX1jT07wWEix%2FpLkCpZd1vOB9Kt1wF2N552M%2BVQy4e6CReeCd%2FT4GKC4Fvwakh6od6NljlMflNAqzMFSLVT2pbdfBdcDCmPo%3D&ddkey=https%3ARESTOrderCalculate	
producteur-querciabella	Querciabella	8	#	||accueil|||italie|||région|||toscane|||producteur|	https://www.millesima.fr/producteur-querciabella.html	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/ombrie/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/italie/italie-regions/lombardie/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/italie/italie-regions/ombrie/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
vinsobres	Vinsobres	6	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/vinsobres.html	
italie	Italie	689	 L' Italie compte parmi les principaux pays producteurs, consommateurs et exportateurs de vin au monde. Avec ses 533 appellations (DOCG, DOC et IGT confondus) réparties sur près de 690 000 hectares , la superficie de son vignoble avoisine 9% de celle du vignoble mondial . Les appellations sont réparties sur l'ensemble du territoire, du Nord au Sud, de l'Est à l'Ouest, comme par exemple les iconiques Piémont ou Toscane . On y retrouve plus de 400 cépages différents comme le Nebbiolo ou le Sangiovese pour ne citer qu'eux. La qualité des vins qui y sont produits a su faire de l'Italie une région incontournable et légendaire dans le paysage international du vin.	||accueil|	https://www.millesima.fr/italie.html	
ventoux	Ventoux	1	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/ventoux.html	
vin-de-france	Vin de France	26	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/vin-de-france.html	
tavel	Tavel	3	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/tavel.html	
vacqueyras	Vacqueyras	8	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/vacqueyras.html	
saint-peray	Saint-Péray	27	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/saint-peray.html	
rasteau	Rasteau	4	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/rasteau.html	
saint-joseph	Saint-Joseph	92	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/saint-joseph.html	
muscat-de-beaumes-de-venise	Muscat de Beaumes-de-Venise	2	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/muscat-de-beaumes-de-venise.html	
luberon	Luberon	2	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/luberon.html	
lirac	Lirac	11	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/lirac.html	
vallee-du-rhone-appellations	Appellation	850	#	||accueil|||vallée du rhône|	https://www.millesima.fr/vallee-du-rhone/vallee-du-rhone-appellations.html	
vermentino	Vermentino	2	#	#	https://www.millesima.fr/vermentino.html	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/vallee-du-rhone/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/vallee-du-rhone/LogonForm?catalogId=10554&myAcctMain=1&langId=-2&storeId=11652	
ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=208985&catalogId=10554&top_category2=&categoryId=220593&errorViewName=ProductDisplayErrorView&urlLangId=-2&langId=-2&top_category=219977&parent_category_rn=220368&storeId=11652	#	#	#	||accueil|||tous nos vins|||famille perrin|||vacqueyras|||grenache|	https://www.millesima.fr/ProductDisplay?top_category5=&top_category4=&top_category3=&urlRequestType=Base&productId=208985&catalogId=10554&top_category2=&categoryId=220593&errorViewName=ProductDisplayErrorView&urlLangId=-2&langId=-2&top_category=219977&parent_category_rn=220368&storeId=11652	
AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=1tgjsTL25GjyW2gvstzVhMLKBuV2egwb4krvpcZIoiqOLT5xsFJL7GZp7iNj7sZeRgAqkavduDbrIUJe%2FhZLWtSx84lYuf0RV43iIfjm6EqLZr7EBCENm4kJunLwB0aotqA8B05e8imxeoeNNZOM3y9fUfBWy307M6T%2FWbSbhQ5nDuWRJ4YJOboekECwYluzX2A2jNJFFZRP%2BlOJHJDTqA%3D%3D&ddkey=https%3ARESTOrderCalculate	#	#	#	#	https://www.millesima.fr/webapp/wcs/stores/servlet/AjaxOrderItemDisplayView?catalogId=10554&langId=-2&storeId=11652&krypto=1tgjsTL25GjyW2gvstzVhMLKBuV2egwb4krvpcZIoiqOLT5xsFJL7GZp7iNj7sZeRgAqkavduDbrIUJe%2FhZLWtSx84lYuf0RV43iIfjm6EqLZr7EBCENm4kJunLwB0aotqA8B05e8imxeoeNNZOM3y9fUfBWy307M6T%2FWbSbhQ5nDuWRJ4YJOboekECwYluzX2A2jNJFFZRP%2BlOJHJDTqA%3D%3D&ddkey=https%3ARESTOrderCalculate	
ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/vallee-du-rhone/ResetPasswordGuestErrorView?state=forgetpassword&catalogId=10554&langId=-2&storeId=11652	
Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/vallee-du-rhone/Logoff?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
igp-vaucluse	IGP Vaucluse	6	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/igp-vaucluse.html	
igp-collines-rhodaniennes	IGP Collines Rhodaniennes	11	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/igp-collines-rhodaniennes.html	
hermitage	Hermitage	74	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/hermitage.html	
gigondas	Gigondas	22	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/gigondas.html	
ermitage	Ermitage	71	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/ermitage.html	
cotes-du-rhone-villages-rasteau	Côtes du Rhône Villages Rasteau	1	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone-villages-rasteau.html	
cotes-du-rhone-villages-plan-de-dieu	Côtes du Rhône Villages Plan de Dieu	1	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone-villages-plan-de-dieu.html	
cotes-du-rhone-villages-saint-maurice	Côtes du Rhône Villages Saint-Maurice	7	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone-villages-saint-maurice.html	
cotes-du-rhone-villages-laudun	Côtes du Rhône Villages Laudun	1	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone-villages-laudun.html	
cotes-du-rhone-villages-cairanne	Côtes du Rhône Villages Cairanne	3	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone-villages-cairanne.html	
cotes-du-rhone	Côtes du Rhône	32	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cotes-du-rhone.html	
crozes-hermitage	Crozes-Hermitage	44	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/crozes-hermitage.html	
cote-rotie	Côte-Rôtie	91	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cote-rotie.html	
crozes-ermitage	Crozes-Ermitage	10	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/crozes-ermitage.html	
cornas	Cornas	86	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/cornas.html	
condrieu	Condrieu	68	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/condrieu.html	
chateauneuf-du-pape	Châteauneuf-du-Pape	140	#	||accueil|||vallée du rhône|||appellation|	https://www.millesima.fr/chateauneuf-du-pape.html	
producteur-yann-chave	Yann Chave	6	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-yann-chave.html	
producteur-yves-cuilleron	Yves Cuilleron	35	 Depuis 3 générations, le vin a toujours fait partie de l'histoire familiale. Le grand-père paternel démarre l'exploitation en 1920. En 1947, il vend son vin en bouteilles. En 1960, Antoine Cuilleron devient gérant du domaine. Enfin en 1987, Yves Cuilleron reprend l'exploitation. ½ La passion sans exigence ne suffit pas ». Depuis toujours, Yves Cuilleron est personnellement impliqué dans chaque étape de la production, du cep de vigne à la mise en bouteille pour faire naître des Condrieu , des Saint-Péray , des Cornas , des Saint-Joseph et des Côte-Rôtie d'une grande singularité.	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-yves-cuilleron.html	
producteur-xavier	Xavier	18	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-xavier.html	
producteur-pierre-henri-morel	Pierre-Henri Morel	7	 Pierre-Henri Morel, véritable amoureux des vins de la Vallée du Rhône , n'est autre que le Directeur Commercial de Michel Chapoutier . Ces deux hommes décident d'acheter en 2008 20 hectares de vignes vieilles d'une cinquantaine d'années principalement sur l'appellation Châteauneuf-du-Pape; c'est ainsi que naît la marque Pierre-Henri Morel . Ce sont les cépages Grenache et Syrah qui y sont principalement cultivés, à Châteauneuf-du-Pape , mais également en appellation Gigondas et Côtes-du-Rhône . En résultent des vins d'une grande qualité qui reflètent l'amour de ces hommes pour ces terroirs si emblématiques de la Vallée du Rhône .	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-pierre-henri-morel.html	
producteur-tardieu-laurent	Tardieu Laurent	65	 Bastien et Camille Tardieu, les enfants, ont rejoint Michel et Michèle: les parents. Les hommes sont au chai, les femmes à la gestion et ensemble, ils communiquent une même philosophie du vin: celle que leur transmet Michel. Bastien, oenologue, épaule son père et apporte également sa propre vision grâce à son expérience acquise lors de ses différents voyages et stages à l'étranger, mais aussi en France: expérience acquise dans les meilleurs domaines. " C'est en ne cessant jamais de déguster chez les meilleurs vignerons de toutes régions que l'on acquière la culture du bon " ciment indispensable à la compréhension du vin et du terroir... Ainsi est l'esprit de Tardieu-Laurent .	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-tardieu-laurent.html	
producteur-paul-jaboulet-aine	Paul Jaboulet-Aîné	56	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-paul-jaboulet-aine.html	
producteur-millesima	Millésima	34	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-millesima.html	
producteur-domaine-de-coulet	Matthieu Barret	6	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-de-coulet.html	
producteur-m-chapoutier	M. Chapoutier	143	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-m-chapoutier.html	
producteur-les-pallieres	Les Pallières	1	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-les-pallieres.html	
producteur-la-vieille-ferme	La Vieille Ferme	2	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-la-vieille-ferme.html	
producteur-jean-michel-gerin	Jean-Michel Gérin	17	 La famille Gérin, ce sont 6 générations de vignerons implantées à Ampuis ( Vallée du Rhône ) , au coeur des 280 hectares du célèbre vignoble de Côte-Rôtie , appellation où la Syrah se marie si bien avec un zest de Viognier ( Condrieu ). Le Domaine Jean-Michel Gérin , aujourd'hui fort de 12 hectares, a démarré son aventure en 1983. Il faudra attendre le millésime 1987 pour voir arriver la première production de vin grâce à la reprise de vignes du grand-père, Marcel Gerin et du père, Alfred. En 2003 débute la plantation du lieu-dit « La Viallière » sur les terres de Côte-Rôtie, un travail titanesque sur des pentes allant de 40% à presque 60%. Les vins produits concernent la Côte-Rôtie , Condrieu et Saint-Joseph , appellations que les deux fils de la famille, Michaël et Alexis, ont à coeur d'exploiter.	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-jean-michel-gerin.html	
producteur-jean-alesi	Jean Alesi	3	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-jean-alesi.html	
producteur-jean-luc-colombo	Jean-Luc Colombo	31	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-jean-luc-colombo.html	
producteur-louis-cheze	Louis Chèze	13	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-louis-cheze.html	
producteur-francois-villard	François Villard	24	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-francois-villard.html	
producteur-ferraton-pere-fils	Ferraton Père & Fils	41	 Le domaine Ferraton Père & Fils est situé dans la Vallée du Rhône au coeur des appellations de l'Hermitage, Crozes-Hermitage et Saint-Joseph. Le domaine a été fondé en 1946 par Jean Orëns Ferraton. Plus récemment, à partir de 1998, la propriété bénéficie du savoir faire de Michel Chapoutier, proche de la famille et les vignobles sont menés en bio puis en biodynamie (agréé ECOCERT). Ferraton Père & Fils entretiennent une philosophie de respect de la nature et des terres. Le domaine n'utilise pas de produits chimiques, d'engrais ou encore de pesticides. Chaque vin de la maison est une mise en lumière des différentes identités du terroir de la Vallée du Rhône. Très engagée dans l'agriculture biodynamique, la propriété est certifiée Demeter depuis 2010.	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-ferraton-pere-fils.html	
producteur-famille-perrin	Famille Perrin	27	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-famille-perrin.html	
ProductDisplay?storeId=11652&urlLangId=-2&productId=208986&urlRequestType=Base&langId=-2&catalogId=10554	#	#	#	||accueil|||tous nos vins|||famille perrin|||châteauneuf-du-pape|||grenache|	https://www.millesima.fr/ProductDisplay?storeId=11652&urlLangId=-2&productId=208986&urlRequestType=Base&langId=-2&catalogId=10554	
vallee-du-rhone-producteurs	Producteur	869	#	||accueil|||vallée du rhône|	https://www.millesima.fr/vallee-du-rhone/vallee-du-rhone-producteurs.html	
producteur-e-guigal	E. Guigal	71	 Le Domaine Guigal fut fondé en 1946 par Etienne Guigal à Ampuis, berceau de l'appellation Côte-Rôtie . Les générations se sont succédées au fil des ans, et la famille poursuit aujourd'hui encore l'oeuvre familiale au service des Grands Vins de la Vallée du Rhône . Le vignoble E. Guigal s'étend sur quatre crus : Hermitage , Condrieu , Côte-Rôtie et Saint-Joseph . À Côte-Rôtie, E. Guigal possède plusieurs fleurons dont le célèbre Côte-Rôtie La Mouline situé sur la Côte blonde, La Turque , située sur la Côte Brune; enfin La Landonne (pentes vertigineuses de près de 45 degrés). Elle est plantée exclusivement de Syrah .	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-e-guigal.html	
producteur-domaine-viret	Domaine Viret	11	 "Le Domaine Viret , situé à Saint-Maurice sur Eygues dans la Drôme, fut à l'origine de la réintroduction des vins en amphores en France dès 2005. Egalement précurseur de la cosmoculture (orientation agricole fondée sur l'équilibre des énergies) depuis 1990, le domaine de Philippe et d'Alain Viret se situe sur un lieu magique "les collines du paradis" au coeur de la Vallée du Rhône méridionale. Les grands vins du Domaine Viret sont authentiques, reflet de la pureté aromatique et composé d'une élégance rare. Elaborés dans une véritable cathédrale édifiée en pierres du Pont du Gard, celle-ci permet aux vins d'être dans des conditions optimales et de ne pas souffrir de la chaleur connue de la région.	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-viret.html	
producteur-domaine-marc-sorrel	Domaine Marc Sorrel	3	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-marc-sorrel.html	
producteur-domaine-m-s-ogier-d-ampuis	Domaine Stéphane Ogier	23	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-m-s-ogier-d-ampuis.html	
producteur-domaine-la-roquete	Domaine La Roquète	3	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-la-roquete.html	
producteur-domaine-gourt-de-mautens	Domaine Gourt de Mautens	7	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-gourt-de-mautens.html	
producteur-domaine-georges-vernay	Domaine Georges Vernay	21	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-georges-vernay.html	
producteur-domaine-du-vieux-telegraphe	Domaine du Vieux Télégraphe	7	#	||accueil|||vallée du rhône|||producteur|	https://www.millesima.fr/producteur-domaine-du-vieux-telegraphe.html	
